distribution,mode,ncut,T,eps,eta,v_el,nu_tilde,va,tr_c,w,z_star_raw,z_star_max,z_star_used,z_star_clipped,chi_be,i_ab,skr_raw,skr,status
mb,tuned_va,150,0.05,0.0,0.9,0.001,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.047063432432804295,-0.11065191101218058,0.0,physical
binomial,fixed,45,0.05,0.0,0.9,0.002,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04634322558361598,-0.10770718159400944,0.0,physical
uniform,fixed,150,0.05,0.0,0.9,0.002,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.046343225732074764,-0.10530682362407667,0.0,physical
mb,fixed,150,0.05,0.0,0.9,0.002,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.0612030303951946,-0.17585362523712247,0.0,physical
mb,tuned_va,150,0.05,0.0,0.9,0.002,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04704663724500737,-0.11066786644058765,0.0,physical
binomial,fixed,45,0.05,0.0,0.9,0.005,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.046293652125632294,-0.10775427637909393,0.0,physical
uniform,fixed,150,0.05,0.0,0.9,0.005,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04629365227393486,-0.10535391840930958,0.0,physical
mb,fixed,150,0.05,0.0,0.9,0.005,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.06113789523364629,-0.17591550364059338,0.0,physical
mb,tuned_va,150,0.05,0.0,0.9,0.005,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04699632353398226,-0.11071566446606151,0.0,physical
binomial,fixed,45,0.05,0.0,0.9,0.01,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04621126498009288,-0.10783254416735638,0.0,physical
uniform,fixed,150,0.05,0.0,0.9,0.01,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.046211265128135864,-0.10543218619781863,0.0,physical
mb,fixed,150,0.05,0.0,0.9,0.01,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.061029644219964534,-0.17601834210359105,0.0,physical
mb,tuned_va,150,0.05,0.0,0.9,0.01,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.0469127060896405,-0.11079510103818618,0.0,physical
binomial,fixed,45,0.05,0.0,0.9,0.015,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.046129170581416835,-0.10791053384609862,0.0,physical
uniform,fixed,150,0.05,0.0,0.9,0.015,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04612917072920111,-0.10551017587680664,0.0,physical
mb,fixed,150,0.05,0.0,0.9,0.015,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.06092177592499872,-0.17612081698380855,0.0,physical
mb,tuned_va,150,0.05,0.0,0.9,0.015,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04682938569286284,-0.11087425541512497,0.0,physical
binomial,fixed,45,0.05,0.0,0.9,0.02,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04604736737191028,-0.10798824689512984,0.0,physical
uniform,fixed,150,0.05,0.0,0.9,0.02,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.046047367519436715,-0.10558788892608281,0.0,physical
mb,fixed,150,0.05,0.0,0.9,0.02,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.060814288322392177,-0.17622293020628477,0.0,physical
mb,tuned_va,150,0.05,0.0,0.9,0.02,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.046746360763443774,-0.11095312909807309,0.0,physical
binomial,fixed,45,0.05,0.0,0.95,0.0,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04726492653971737,-0.10683156568571311,0.0,physical
uniform,fixed,150,0.05,0.0,0.95,0.0,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.047264926691081066,-0.1044312077130207,0.0,physical
mb,fixed,150,0.05,0.0,0.95,0.0,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.06241393642341383,-0.1747032645103142,0.0,physical
mb,tuned_va,150,0.05,0.0,0.95,0.0,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.047982096750842425,-0.10977917991004436,0.0,physical
binomial,fixed,45,0.05,0.0,0.95,0.001,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04724863099415301,-0.10684704645399926,0.0,physical
uniform,fixed,150,0.05,0.0,0.95,0.001,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.0472486311454651,-0.10444668848135585,0.0,physical
mb,fixed,150,0.05,0.0,0.95,0.001,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.062392529879647406,-0.1747236007268923,0.0,physical
mb,tuned_va,150,0.05,0.0,0.95,0.001,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04796555803347986,-0.1097948916915388,0.0,physical
binomial,fixed,45,0.05,0.0,0.95,0.002,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04723234668216138,-0.1068625165503913,0.0,physical
uniform,fixed,150,0.05,0.0,0.95,0.002,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04723234683342216,-0.10446215857779664,0.0,physical
mb,fixed,150,0.05,0.0,0.95,0.002,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.06237113801703605,-0.1747439229963731,0.0,physical
mb,tuned_va,150,0.05,0.0,0.95,0.002,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.047949030714539126,-0.1098105926445325,0.0,physical
binomial,fixed,45,0.05,0.0,0.95,0.005,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04718356103157186,-0.10690886291845134,0.0,physical
uniform,fixed,150,0.05,0.0,0.95,0.005,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04718356118267902,-0.10450850494600264,0.0,physical
