case_id,case_type,pair,x,y,repetition,scheme,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,channel_seed,awgn_seed,channel_hash,noise_hash
1,best,V_a,22.5,0.2,9,PS+GS,0.30963602610370067,0.18458095592961127,0.2941542247985156,0.10957326886890437,0.11844397445865121,0.010544298564734045,0.0,6.408923689874859,True,920009,920010,6de9bf0a46cdf1db,a09392691d513de3
2,best,V_a,40.0,0.1,0,MB-global-opt,0.1697058671292071,0.10712475092593121,0.16122057377274673,0.05409582284681552,0.061420716153265664,4.2339232202615015e-05,0.0625,4.380495360181545,True,930000,930001,8b7531b2fafdee10,a37cf56d5b6aed9c
2,best,V_a,40.0,0.1,0,PS+GS,0.16876176018288913,0.10726436389555571,0.16032367217374466,0.05305930827818895,0.05540108624242311,5.401861612439605e-05,0.0,6.408923689874859,True,930000,930001,8b7531b2fafdee10,a37cf56d5b6aed9c
2,best,V_a,40.0,0.1,1,MB-global-opt,0.21394180826603354,0.1329618733540895,0.20324471785273185,0.07028284449864237,0.06050348695355953,0.003946677000499144,0.0,4.380495360181545,True,930001,930002,f461a95a3dd90249,86d73f091481a243
2,best,V_a,40.0,0.1,1,PS+GS,0.21111383497687902,0.13313490072345763,0.20055814322803506,0.06742324250457742,0.06116704243548475,0.003986902040932926,0.0,6.408923689874859,True,930001,930002,f461a95a3dd90249,86d73f091481a243
2,best,V_a,40.0,0.1,2,MB-global-opt,0.12456370584758325,0.08168334192628146,0.11833552055520408,0.036652178628922616,0.030783176016867565,0.0010141207774514104,0.0,4.380495360181545,True,930002,930003,c4f09a84e8f7b5a0,78bc104a5837ef48
2,best,V_a,40.0,0.1,2,PS+GS,0.12557727197749136,0.0817859001534811,0.11929840837861679,0.03751250822513569,0.030593282534759694,0.0011829642327599974,0.0,6.408923689874859,True,930002,930003,c4f09a84e8f7b5a0,78bc104a5837ef48
2,best,V_a,40.0,0.1,3,MB-global-opt,0.11821046971596488,0.07709455206075046,0.11229994623016662,0.035205394169416176,0.02876811161309223,0.002074175803389944,0.0,4.380495360181545,True,930003,930004,edf5683639e8e987,3b3eb2d74971f8f7
2,best,V_a,40.0,0.1,3,PS+GS,0.11792093590793223,0.07718992797317957,0.11202488911253562,0.03483496113935605,0.03180422539431704,0.002255877589455335,0.0,6.408923689874859,True,930003,930004,edf5683639e8e987,3b3eb2d74971f8f7
2,best,V_a,40.0,0.1,4,MB-global-opt,0.10547250747570064,0.06641391671981912,0.1001988821019156,0.033784965382096487,0.008482234609719285,2.389052631975863e-05,0.0,4.380495360181545,True,930004,930005,b09d4c355235d955,7253754d4ebaeeb8
2,best,V_a,40.0,0.1,4,PS+GS,0.10568274156224605,0.0665013321596609,0.10039860448413376,0.033897272324472844,0.010132840520115604,2.4883215283066912e-05,0.0,6.408923689874859,True,930004,930005,b09d4c355235d955,7253754d4ebaeeb8
2,best,V_a,40.0,0.1,5,MB-global-opt,0.17068950467815378,0.10742775137058652,0.1621550294442461,0.05472727807365956,0.04061041166281333,0.0004943402992361955,0.0,4.380495360181545,True,930005,930006,f1428732c96c3d92,a3b335c3ed3c3bfb
2,best,V_a,40.0,0.1,5,PS+GS,0.17056714958238756,0.1075696319681666,0.16203879210326816,0.05446916013510157,0.04387419822008718,0.0006166612828414796,0.0,6.408923689874859,True,930005,930006,f1428732c96c3d92,a3b335c3ed3c3bfb
