pair,x,y,winner,best_learned,K_MB_global,K_best_learned,Delta_K_learned_vs_MB_global,Delta_I_AB,Delta_chi_BE,gain_source,MB_outage,learned_outage,Delta_outage,learned_K_p05,MB_K_p05,exploratory_ncut,repetitions
T_epsilon,0.0001,0.03,PS+GS,PS+GS,3.722638200616871e-06,4.230947561264143e-06,5.083093606472716e-07,1.2844255072863575e-06,7.118948712747653e-07,Mixed/none,0.3333333333333333,0.2916666666666667,0.04166666666666663,-3.1732493250421167e-06,-8.791750203927716e-06,64,3
T_epsilon,0.0006687403049764221,0.03,PS+GS,PS+GS,2.613305290701247e-05,4.6473890389261e-05,2.034083748224853e-05,2.567249571464958e-05,4.0480334466685974e-06,Mixed/none,0.375,0.16666666666666666,0.20833333333333334,-2.310726627220359e-05,-0.00011165702398849551,64,3
T_epsilon,0.00447213595499958,0.03,MB-global-opt,PS+GS,0.0005653815284287467,0.0005523237245784219,-1.3057803850324867e-05,9.769168254791794e-06,2.233851369237705e-05,No positive gain,0.20833333333333334,0.041666666666666664,0.16666666666666669,0.0001326747490582908,-0.0005226958772145919,64,3
T_epsilon,0.029906975624424414,0.03,PS+GS,PS+GS,0.005034348151870851,0.0053306337407943,0.0002962855889234485,0.0004370708273302021,0.00011893169704024764,Mixed/none,0.041666666666666664,0.0,0.041666666666666664,0.003417055784064399,0.0016663668216636545,64,3
T_epsilon,0.20000000000000004,0.03,MB-global-opt,PS+GS,0.05338133169067901,0.05202571683909557,-0.0013556148515834407,-0.0007581278381411649,0.0006353934053493493,No positive gain,0.0,0.0,0.0,0.03865614889955997,0.028203351950183243,64,3
L_Cn2,20.0,1e-16,MB-global-opt,PS+GS,0.04043638537269092,0.03977299536123456,-0.0006633900114563565,-0.0005808339609409963,0.00011159774856242533,No positive gain,0.0,0.0,0.0,0.02703082575251915,0.023191867776920994,64,3
L_Cn2,40.0,1e-16,PS+GS,PS+GS,0.002073096253449972,0.0021795858668805916,0.00010648961343061964,0.00012111180438530676,8.56660073542126e-06,Mixed/none,0.0,0.0,0.0,0.001087120506769598,0.0007702526014000585,64,3
L_Cn2,60.0,1e-16,MB-global-opt,PS+GS,0.00014774289018839405,0.00014581395961671035,-1.9289305716837016e-06,-1.3130196728772248e-06,6.815618824503869e-07,No positive gain,0.0,0.0,0.0,5.528625878854794e-05,4.663944225085463e-05,64,3
L_Cn2,80.0,1e-16,PS+GS,PS+GS,8.318139963268503e-06,9.241809025230712e-06,9.236690619622096e-07,1.027316255878638e-06,5.228138112248903e-08,MI-driven,0.08333333333333333,0.0,0.08333333333333333,3.21692410918913e-06,9.327521029304591e-07,64,3
L_Cn2,100.0,1e-16,PS+GS,PS+GS,7.989053008324493e-07,8.178710030707728e-07,1.8965702238323457e-08,2.559237492298204e-08,5.347053938509205e-09,No positive gain,0.0,0.0,0.0,1.4354481055060355e-07,9.58044126734651e-08,64,3
L_Cn2,20.0,3.1622776601683793e-16,MB-global-opt,PS+GS,0.03405030292009963,0.032961261321250886,-0.0010890415988487473,-0.001041627384134075,9.949558392136071e-05,No positive gain,0.0,0.0,0.0,0.016591541418817694,0.015600476575576033,64,3
L_Cn2,40.0,3.1622776601683793e-16,MB-global-opt,PS+GS,0.0015295236439180585,0.0014782449970690778,-5.1278646848980716e-05,-4.83690031556714e-05,5.3280938510924525e-06,No positive gain,0.0,0.0,0.0,0.0004090243289318485,0.0003996573436912258,64,3
L_Cn2,60.0,3.1622776601683793e-16,MB-global-opt,PS+GS,7.266433001883083e-05,6.572675759615915e-05,-6.9375724226716865e-06,-6.98102031748693e-06,3.056031210590948e-07,No positive gain,0.0,0.0,0.0,6.565610614259012e-06,7.339653186124728e-06,64,3
L_Cn2,80.0,3.1622776601683793e-16,MB-global-opt,PS+GS,4.753258152079275e-06,4.308009597153716e-06,-4.45248554925559e-07,-4.42283065134795e-07,2.507964304750493e-08,No positive gain,0.041666666666666664,0.0,0.041666666666666664,2.502212595471379e-07,2.13003915868389e-07,64,3
L_Cn2,100.0,3.1622776601683793e-16,PS+GS,PS+GS,1.55226894762069e-07,1.6810846707645167e-07,1.2881572314382663e-08,1.4825588053509418e-08,1.2027363364512899e-09,No positive gain,0.08333333333333333,0.0,0.08333333333333333,1.1407907766584436e-09,7.715091040102114e-10,64,3
L_Cn2,20.0,1e-15,MB-global-opt,PS+GS,0.017934958891960784,0.017657982636343904,-0.00027697625561688005,-0.00023690376042977135,5.191768320860629e-05,No positive gain,0.0,0.0,0.0,0.00213805408480067,0.0018730508650352644,64,3
L_Cn2,40.0,1e-15,MB-global-opt,PS+GS,0.0009216590521555766,0.0008754248906258939,-4.623416152968278e-05,-4.50360430300778e-05,3.449920651109155e-06,No positive gain,0.0,0.0,0.0,3.541754500217283e-05,2.9654758650815195e-05,64,3
L_Cn2,60.0,1e-15,PS+GS,PS+GS,5.5496504917085226e-05,5.853848881851955e-05,3.0419839014343252e-06,3.4824512229099933e-06,2.6634476033016163e-07,Mixed/none,0.041666666666666664,0.0,0.041666666666666664,3.8052845254377136e-07,3.497548138819973e-07,64,3
L_Cn2,80.0,1e-15,MB-global-opt,PS+GS,1.1823625251280072e-06,1.1711584316028327e-06,-1.1204093525174528e-08,-4.411772946966153e-09,7.0129092255566405e-09,No positive gain,0.4166666666666667,0.0,0.4166666666666667,5.152315611193594e-13,-6.475938378140237e-11,64,3
L_Cn2,100.0,1e-15,MB-global-opt,PS+GS,6.91713943605047e-08,6.478045737797385e-08,-4.390936982530858e-09,-4.1611638579297505e-09,4.3783131749761074e-10,No positive gain,0.5416666666666666,0.16666666666666666,0.375,1.9113599591946688e-14,-6.530421240806087e-11,64,3
L_Cn2,20.0,3.1622776601683794e-15,PS+GS,PS+GS,0.008463688025594735,0.008657692671402968,0.00019400464580823264,0.00023276630427463557,2.7123343252673238e-05,Mixed/none,0.0,0.0,0.0,0.00016849202603093155,0.00013556015575204503,64,3
L_Cn2,40.0,3.1622776601683794e-15,MB-global-opt,PS+GS,0.0004861403904833953,0.0004684186748357133,-1.7721715647682013e-05,-1.683924399727599e-05,1.7244338502697687e-06,No positive gain,0.25,0.08333333333333333,0.16666666666666669,3.4376722209591046e-11,-1.8314105787453623e-11,64,3
L_Cn2,60.0,3.1622776601683794e-15,MB-global-opt,PS+GS,1.925250152445453e-05,1.6418441544415367e-05,-2.8340599800391615e-06,-2.8995362331141195e-06,7.950055858074734e-08,No positive gain,0.5,0.25,0.25,-1.1546319456101628e-15,-4.409572824319122e-06,64,3
L_Cn2,80.0,3.1622776601683794e-15,PS+GS,PS+GS,3.0134025056175826e-07,3.6874593067152494e-07,6.740568010976667e-08,7.344122721075763e-08,2.3634857404530862e-09,No positive gain,0.75,0.5416666666666666,0.20833333333333337,-1.828167247216091e-15,-6.532336893627644e-11,64,3
L_Cn2,100.0,3.1622776601683794e-15,PS+GS,PS+GS,1.2629721914588406e-08,1.4074107708890907e-08,1.4443857943025008e-09,1.6298823772113306e-09,1.0400246404825692e-10,No positive gain,0.625,0.5,0.125,0.0,-6.532144232925436e-11,64,3
