sample_id,distance_km,r_i,T_i
432,19.0000000000,146.0176034286,0.0000000000
433,19.0000000000,107.5600069280,0.0000000000
434,19.0000000000,49.8878236508,0.0000000000
435,19.0000000000,104.4354160679,0.0000000000
436,19.0000000000,53.3257315729,0.0000000000
437,19.0000000000,121.1898751217,0.0000000000
438,19.0000000000,43.7485920127,0.0000000000
439,19.0000000000,108.2188275126,0.0000000000
440,19.0000000000,68.5710055293,0.0000000000
441,19.0000000000,30.5748278092,0.0000000000
442,19.0000000000,116.8482148613,0.0000000000
443,19.0000000000,35.4381422523,0.0000000000
444,19.0000000000,205.6070054123,0.0000000000
445,19.0000000000,80.7359084207,0.0000000000
446,19.0000000000,59.2731513396,0.0000000000
447,19.0000000000,44.4200776794,0.0000000000
448,19.0000000000,84.9522123698,0.0000000000
449,19.0000000000,117.3144843293,0.0000000000
450,19.0000000000,132.5610235190,0.0000000000
451,19.0000000000,93.2555680065,0.0000000000
452,19.0000000000,183.0712523234,0.0000000000
453,19.0000000000,123.8969755858,0.0000000000
454,19.0000000000,42.0158565724,0.0000000000
455,19.0000000000,178.9295378200,0.0000000000
456,19.0000000000,63.2087764603,0.0000000000
457,19.0000000000,183.4038803516,0.0000000000
458,19.0000000000,55.4003253384,0.0000000000
459,19.0000000000,72.1276555822,0.0000000000
460,19.0000000000,106.4871740279,0.0000000000
461,19.0000000000,26.9994518758,0.0000000000
462,19.0000000000,161.4284576139,0.0000000000
463,19.0000000000,66.6209768142,0.0000000000
464,19.0000000000,50.6476145283,0.0000000000
465,19.0000000000,24.5069720561,0.0000000000
466,19.0000000000,15.8747004269,0.0000000000
467,19.0000000000,16.9829100526,0.0000000000
468,19.0000000000,61.4201466076,0.0000000000
469,19.0000000000,60.1032935037,0.0000000000
470,19.0000000000,100.4824485470,0.0000000000
471,19.0000000000,150.5183203643,0.0000000000
472,19.0000000000,107.7061434738,0.0000000000
473,19.0000000000,103.8663817833,0.0000000000
474,19.0000000000,74.0222745844,0.0000000000
475,19.0000000000,97.8616904092,0.0000000000
476,19.0000000000,88.9989362965,0.0000000000
477,19.0000000000,23.0474750746,0.0000000000
478,19.0000000000,51.5608689535,0.0000000000
479,19.0000000000,50.6456889440,0.0000000000
480,19.0000000000,27.5750813454,0.0000000000
481,19.0000000000,67.2714426156,0.0000000000
482,19.0000000000,24.2243089825,0.0000000000
483,19.0000000000,121.9938938886,0.0000000000
484,19.0000000000,123.4234202389,0.0000000000
485,19.0000000000,32.6473652467,0.0000000000
486,19.0000000000,29.1981077370,0.0000000000
487,19.0000000000,175.9640430577,0.0000000000
488,19.0000000000,55.7100126855,0.0000000000
489,19.0000000000,83.4876517508,0.0000000000
490,19.0000000000,77.9848515185,0.0000000000
491,19.0000000000,112.2340056698,0.0000000000
492,19.0000000000,101.2662235735,0.0000000000
493,19.0000000000,150.4683751342,0.0000000000
494,19.0000000000,43.1857567475,0.0000000000
