parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
excess_noise,0.004,SNU,1,303026,0.016718360275189484,0.0011392896084738684,5.644647906681566e-05
excess_noise,0.004,SNU,2,304026,0.016975548407782294,0.0011548994328539463,5.7263246686145575e-05
excess_noise,0.004,SNU,3,305026,0.017067504652575075,0.0011587738024515844,5.753663174523291e-05
excess_noise,0.004,SNU,4,306026,0.01706051983623714,0.001152473231351754,5.71006010308614e-05
excess_noise,0.0045000000000000005,SNU,0,302026,0.01818198388063708,0.0012136636064967272,6.215343258605954e-05
excess_noise,0.0045000000000000005,SNU,1,303026,0.017494645485385485,0.0011726453277568936,6.0261124220632734e-05
excess_noise,0.0045000000000000005,SNU,2,304026,0.01631594223075916,0.0010956657918127638,5.599101467071779e-05
excess_noise,0.0045000000000000005,SNU,3,305026,0.017113602984759113,0.0011562847570030094,5.9329319223817845e-05
excess_noise,0.0045000000000000005,SNU,4,306026,0.0170776965060147,0.0011578978722233046,5.931096278747813e-05
excess_noise,0.005,SNU,0,302026,0.017165493762254493,0.0011445573188731606,6.0442104272678127e-05
excess_noise,0.005,SNU,1,303026,0.01748507632738147,0.0011698812706984916,6.189083510961535e-05
excess_noise,0.005,SNU,2,304026,0.017828448395769365,0.001197573061248897,6.314642566017728e-05
excess_noise,0.005,SNU,3,305026,0.01741498586738275,0.0011574371110055414,6.115783903394567e-05
excess_noise,0.005,SNU,4,306026,0.017600712323196474,0.001174703986012095,6.199497841591003e-05
excess_noise,0.0055,SNU,0,302026,0.01762330669305949,0.0011642917605821637,6.30836599002059e-05
excess_noise,0.0055,SNU,1,303026,0.01747815322226983,0.0011632788924348138,6.285453699869312e-05
excess_noise,0.0055,SNU,2,304026,0.018137875690559448,0.0011978544234814885,6.50245405190257e-05
excess_noise,0.0055,SNU,3,305026,0.017065579386579093,0.0011310340699291523,6.140851810537348e-05
excess_noise,0.0055,SNU,4,306026,0.01750569989248597,0.0011547498314223399,6.276882688788926e-05
excess_noise,0.006,SNU,0,302026,0.018118383754275075,0.001202516245592711,6.657697867077511e-05
excess_noise,0.006,SNU,1,303026,0.017645233149757068,0.0011586015651500695,6.463559626559978e-05
excess_noise,0.006,SNU,2,304026,0.017230073603120368,0.0011234770527523827,6.262169976995954e-05
excess_noise,0.006,SNU,3,305026,0.017088446886707916,0.0011263775338191248,6.264896804071551e-05
excess_noise,0.006,SNU,4,306026,0.017639273304154022,0.0011595597304020124,6.454998829105371e-05
