T,epsilon,SNR_dB,scheme,mean_I_AB,mean_chi_BE,mean_K_raw,std_K_raw,ci95_low,ci95_high,mean_K_positive,mean_entropy,outage_probability,repetitions
0.006812920690579608,0.025,-18.65673654601188,MB-fixed,0.009959009146104888,0.008129763280010138,0.0013312954087895043,0.0002439685052381732,0.0007252440444555108,0.001937346773123498,0.0013312954087895043,6.408923689874861,0.0,3
0.006812920690579608,0.025,-18.65673654601188,MB-global-opt,0.009972898056221998,0.008053320393210939,0.001420932760199959,0.00021688862704893682,0.000882151542504619,0.0019597139778952987,0.001420932760199959,4.7380473561634675,0.0,3
0.006812920690579608,0.025,-18.65673654601188,PS,0.009959009146106665,0.008129763280010138,0.0013312954087911922,0.00024396850523716236,0.0007252440444597097,0.0019373467731226748,0.0013312954087911922,6.408923689874858,0.0,3
0.006812920690579608,0.025,-18.65673654601188,PS+GS,0.009958997117699356,0.008115693880833108,0.00134535338098128,0.00024397507980916113,0.000739285684507557,0.001951421077455003,0.00134535338098128,6.408923689874858,0.0,3
0.01,0.025,-16.990242877536136,GS,0.014409194587101956,0.015991141394622765,-0.0023024065368759086,0.00020832455418706396,-0.0028199134182091564,-0.001784899655542661,0.0,8.0,1.0,3
0.01,0.025,-16.990242877536136,MB-fixed,0.014542037626244841,0.011831217510896108,0.0019837182340364905,0.00036549148064942674,0.0010757870636430348,0.002891649404429946,0.0019837182340364905,6.408923689874861,0.0,3
0.01,0.025,-16.990242877536136,MB-global-opt,0.014787447338083126,0.01172382568563779,0.0023242492855411793,0.00041142766094181345,0.0013022063173510575,0.003346292253731301,0.0023242492855411793,4.7380473561634675,0.0,3
0.01,0.025,-16.990242877536136,PS,0.014542037626246618,0.011831217510896108,0.0019837182340381784,0.00036549148065003053,0.001075787063643223,0.0028916494044331337,0.0019837182340381784,6.408923689874858,0.0,3
0.01,0.025,-16.990242877536136,PS+GS,0.01454204512605628,0.01181145491945168,0.002003487950301785,0.00036549039949303186,0.0010955594656497022,0.002911416434953868,0.002003487950301785,6.408923689874858,0.0,3
0.01467799267622069,0.025,-15.323830125007182,GS,0.020833021261618196,0.023000494197648935,-0.003209123999111649,0.0003840656995087109,-0.004163196087039185,-0.002255051911184113,0.0,8.0,1.0,3
0.01467799267622069,0.025,-15.323830125007182,MB-fixed,0.020829018655822058,0.01719802036213136,0.002589547360899594,0.000489741859495581,0.001372961138718966,0.003806133583080222,0.002589547360899594,6.408923689874861,0.0,3
0.01467799267622069,0.025,-15.323830125007182,MB-global-opt,0.020875221095626745,0.01704736007222385,0.0027840999686215596,0.001349061545131671,-0.0005671546910706641,0.006135354628313784,0.0027840999686215596,4.7380473561634675,0.0,3
