stage,point_index,T,epsilon,SNR_dB,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,entropy,outage,noise_seed,ncut,awgn_samples,case_id,case_type,oracle_nu
confirmation,8,0.002154434690032,0.01,-23.65641349272952,MB-oracle-per-state,4,0.0031558013067014556,0.0023450300263356816,0.0029980112413663827,0.0006529812150307011,0.0006529812150307011,4.7380473561634675,0,1240004,150,512,8,failure,0.32
confirmation,0,0.1,0.03,-6.9962095796561385,MB-fixed,5,0.13627665804149824,0.10885544238422873,0.12946282513942334,0.02060738275519461,0.02060738275519461,6.408923689874861,0,1240005,150,512,0,best_overall,0.15
confirmation,1,0.06812920690579609,0.015,-8.658585253667717,MB-fixed,5,0.09356526211518457,0.07097453225988226,0.08888699900942533,0.01791246674954307,0.01791246674954307,6.408923689874861,0,1240005,150,512,1,best_overall,0.23
confirmation,2,0.03162277660168379,0.0,-11.989700043360187,MB-fixed,5,0.04483691787546196,0.030731486570848787,0.04259507198168886,0.011863585410840073,0.011863585410840073,6.408923689874861,0,1240005,150,512,2,best_overall,0.5
confirmation,3,3.1622776602e-05,0.03,-41.98970210335588,MB-fixed,5,4.5381277335110326e-05,4.293545989764169e-05,4.3112213468354806e-05,1.767535707131133e-07,1.767535707131133e-07,6.408923689874861,0,1240005,150,512,3,near_threshold,0.15
confirmation,4,1.4677992676e-05,0.025,-45.323034173580155,MB-fixed,5,2.1509551624276924e-05,1.934969384520535e-05,2.0434074043063077e-05,1.084380197857726e-06,1.084380197857726e-06,6.408923689874861,0,1240005,150,512,4,near_threshold,0.37
confirmation,5,1.2115276586e-05,0.025,-46.156367367829006,MB-fixed,5,1.7507366190550044e-05,1.6016495482329418e-05,1.663199788102254e-05,6.155023986931227e-07,6.155023986931227e-07,6.408923689874861,0,1240005,150,512,5,near_threshold,0.35
confirmation,6,0.004641588833613,0.025,-20.32328534643597,MB-fixed,5,0.006712625885652024,0.005581897562515037,0.006376994591369423,0.0007950970288543857,0.0007950970288543857,6.408923689874861,0,1240005,150,512,6,failure,0.3
confirmation,7,0.004641588833613,0.03,-20.323335738630295,MB-fixed,5,0.006663817758425061,0.005748056005564051,0.006330626870503808,0.0005825708649397571,0.0005825708649397571,6.408923689874861,0,1240005,150,512,7,failure,0.33
confirmation,8,0.002154434690032,0.01,-23.65641349272952,MB-fixed,5,0.0031010541707701123,0.0023641699892906765,0.0029460014622316065,0.00058183147294093,0.00058183147294093,6.408923689874861,0,1240005,150,512,8,failure,0.32
