SNR_band,SNR_dB,T,epsilon,delta_K,K_MB,K_joint
low,-33.656371388319826,0.00021544346900318823,0.01,-8.851389682836401e-07,5.4371329697847994e-05,5.3486190729564354e-05
low,-31.98970691015345,0.00031622776601683794,0.01,6.580295110418044e-06,7.244273445275634e-05,7.902302956317438e-05
low,-30.323043455763916,0.00046415888336127773,0.01,1.498638378342558e-05,0.00010532815690950472,0.0001203145406929303
low,-28.656381504070968,0.0006812920690579609,0.01,-2.619522064521262e-06,0.00017309512552499126,0.00017047560346047
low,-26.989721758029997,0.001,0.01,-1.1372262597708605e-05,0.0002595896504806442,0.0002482173878829356
low,-25.32306524943269,0.0014677992676220691,0.01,-2.789398396432221e-05,0.0004376880754342948,0.0004097940914699726
medium,-23.656413492729754,0.002154434690031882,0.01,-3.223937425862473e-05,0.0006027080899423607,0.000570468715683736
medium,-21.989768710804228,0.0031622776601683794,0.01,-3.620460463893416e-05,0.0010638301409428821,0.001027625536303948
medium,-20.323134166344854,0.004641588833612777,0.01,-2.0829418328579012e-05,0.0012494459907660032,0.0012286165724374242
medium,-18.656514648200222,0.006812920690579608,0.01,5.6554857813904e-06,0.0016866500927230777,0.0016923055785044681
medium,-16.98991718517264,0.01,0.01,0.0005133460532158608,0.0018009637333555276,0.0023143097865713884
medium,-15.323352093559592,0.01467799267622069,0.01,-0.0002680479493287072,0.004954924869435294,0.004686876920106587
high,-13.656834514379712,0.021544346900318822,0.01,0.0007238994140434038,0.00437790789565365,0.0051018073096970535
high,-11.990386668948128,0.03162277660168379,0.01,0.0009649232413452627,0.007599145178730608,0.008564068420075871
high,-10.324041167963077,0.046415888336127774,0.01,0.00014716542661104975,0.013860370472880914,0.014007535899491963
saturation/highest,-8.657845865037796,0.06812920690579609,0.01,-0.001150682168739748,0.024367020581245253,0.023216338412505505
saturation/highest,-6.99187097308249,0.1,0.01,-0.0010336518737805445,0.030646156246342666,0.02961250437256212
very low,-46.98970031479423,1e-05,0.0125,-1.2792643898270248e-07,1.994137024352582e-06,1.8662105853698794e-06
very low,-45.3230337751042,1.4677992676220705e-05,0.0125,-4.285533283650747e-07,4.151679304772078e-06,3.7231259764070033e-06
very low,-43.65636729481375,2.1544346900318823e-05,0.0125,-3.6287571556492486e-07,4.848528726701197e-06,4.485653011136272e-06
very low,-41.989700901709945,3.1622776601683795e-05,0.0125,-1.0624254151103656e-06,7.521124189935331e-06,6.458698774824966e-06
very low,-40.3230346365786,4.641588833612782e-05,0.0125,-1.5900932652357376e-06,1.1721290436013849e-05,1.0131197170778111e-05
very low,-38.65636855928513,6.812920690579608e-05,0.0125,-1.435024583903041e-07,1.5170607841197276e-05,1.5027105382806972e-05
very low,-36.98970275769985,0.0001,0.0125,-1.4264014723005195e-06,2.1612015721276612e-05,2.0185614248976092e-05
very low,-35.32303736079871,0.0001467799267622069,0.0125,-4.660672380178254e-07,3.2757088323220873e-05,3.229102108520305e-05
low,-33.65637255789228,0.00021544346900318823,0.0125,-3.712703690779862e-06,5.123010658546848e-05,4.751740289468862e-05
low,-31.989708626850067,0.00031622776601683794,0.0125,-6.559333711342322e-06,7.295948685408503e-05,6.640015314274271e-05
low,-30.323045975527858,0.00046415888336127773,0.0125,2.566506270736558e-06,0.00010083149062654801,0.00010339799689728457
low,-28.65638520257412,0.0006812920690579609,0.0125,-1.73744878805652e-05,0.0001924630414291102,0.000175088553548545
low,-26.989727186680486,0.001,0.0125,-2.6134914358744187e-05,0.0002557888371199487,0.0002296539227612045
