T,epsilon,SNR_dB,scheme,mean_I_AB,mean_chi_BE,mean_K_raw,std_K_raw,ci95_low,ci95_high,mean_K_positive,mean_entropy,outage_probability,repetitions
1.3990503141e-05,0.00625,-45.53136690001757,MB-fixed,2.021825730066003e-05,1.5283167819291066e-05,3.924176616335964e-06,4.690687137157773e-07,2.7589453352068223e-06,5.089407897465106e-06,3.924176616335964e-06,6.408923689874861,0.0,3
1.3990503141e-05,0.00625,-45.53136690001757,MB-global-opt,1.992478031572394e-05,1.5133017326363074e-05,3.7955239735746695e-06,8.06714892071289e-07,1.7915330875746174e-06,5.799514859574721e-06,3.7955239735746695e-06,4.7380473561634675,0.0,3
1.3990503141e-05,0.00625,-45.53136690001757,PS,2.021825730273245e-05,1.5283167819291066e-05,3.92417661830476e-06,4.6906871388423765e-07,2.7589453367571396e-06,5.08940789985238e-06,3.92417661830476e-06,6.408923689874858,0.0,3
1.3990503141e-05,0.00625,-45.53136690001757,PS+GS,2.021823763698194e-05,1.5255039801598258e-05,3.952285953534583e-06,4.690370356541833e-07,2.787133365072881e-06,5.1174385419962855e-06,3.952285953534583e-06,6.408923689874858,0.0,3
1.4677992676e-05,0.00625,-45.323033575964175,GS,2.1171925013163673e-05,2.446346303108804e-05,-4.3501342685825514e-06,3.1778869364344346e-07,-5.139565146820319e-06,-3.560703390344784e-06,0.0,8.0,1.0,3
1.4677992676e-05,0.00625,-45.323033575964175,MB-fixed,2.1539284331832203e-05,1.603049458021033e-05,4.431825535030261e-06,7.286481744340691e-07,2.621763126342988e-06,6.241887943717533e-06,4.431825535030261e-06,6.408923689874861,0.0,3
1.4677992676e-05,0.00625,-45.323033575964175,MB-global-opt,2.1699804903185793e-05,1.5873432949398136e-05,4.7413817086283665e-06,1.2028143064981193e-06,1.7534253296605962e-06,7.729338087596137e-06,4.7413817086283665e-06,4.7380473561634675,0.0,3
1.4677992676e-05,0.00625,-45.323033575964175,PS,2.153928433360856e-05,1.603049458021033e-05,4.4318255367177985e-06,7.286481742307621e-07,2.6217631285355685e-06,6.241887944900028e-06,4.4318255367177985e-06,6.408923689874858,0.0,3
1.4677992676e-05,0.00625,-45.323033575964175,PS+GS,2.1539300201212086e-05,1.6001072175475528e-05,4.461263015675953e-06,7.28665257293131e-07,2.65115817081426e-06,6.271367860537645e-06,4.461263015675953e-06,6.408923689874858,0.0,3
1e-05,0.0075,-46.98970020622062,GS,1.4360022073075148e-05,1.7210147533086584e-05,-3.5681265636651937e-06,1.145560962890962e-07,-3.852699682564313e-06,-3.2835534447660743e-06,0.0,8.0,1.0,3
1e-05,0.0075,-46.98970020622062,MB-fixed,1.4371493730476933e-05,1.1105822579571267e-05,2.547096464381818e-06,2.910179609583222e-07,1.8241677727775231e-06,3.2700251559861127e-06,2.547096464381818e-06,6.408923689874861,0.0,3
1e-05,0.0075,-46.98970020622062,MB-global-opt,1.4311763676092918e-05,1.098759902373736e-05,2.608576468550912e-06,5.388840731436707e-07,1.2699142202096854e-06,3.947238716892139e-06,2.608576468550912e-06,4.7380473561634675,0.0,3
1e-05,0.0075,-46.98970020622062,PS,1.437149373166117e-05,1.1105822579571267e-05,2.5470964655068445e-06,2.9101796218249255e-07,1.8241677708615422e-06,3.270025160152147e-06,2.5470964655068445e-06,6.408923689874858,0.0,3
1e-05,0.0075,-46.98970020622062,PS+GS,1.4371485783944612e-05,1.108373520652961e-05,2.56917628821777e-06,2.910258754373548e-07,1.846227935957642e-06,3.292124640477898e-06,2.56917628821777e-06,6.408923689874858,0.0,3
1.0491397291e-05,0.0075,-46.781366881040505,GS,1.5250796011834211e-05,1.8032163879633245e-05,-3.543907668390745e-06,1.0213972178523456e-07,-3.7976368031419886e-06,-3.2901785336395016e-06,0.0,8.0,1.0,3
1.0491397291e-05,0.0075,-46.781366881040505,MB-fixed,1.5013582907859776e-05,1.1648441980982582e-05,2.6144617814842037e-06,3.7420016882321e-07,1.6848970303786472e-06,3.5440265325897602e-06,2.6144617814842037e-06,6.408923689874861,0.0,3
1.0491397291e-05,0.0075,-46.781366881040505,MB-global-opt,1.4569734905064044e-05,1.1524773214199868e-05,2.3164749456109727e-06,7.872596747789214e-07,3.6081349857658893e-07,4.272136392645356e-06,2.3164749456109727e-06,4.7380473561634675,0.0,3
1.0491397291e-05,0.0075,-46.781366881040505,PS,1.5013582910228251e-05,1.1648441980982582e-05,2.614461783734256e-06,3.7420016845108e-07,1.6848970335531217e-06,3.5440265339153905e-06,2.614461783734256e-06,6.408923689874858,0.0,3
1.0491397291e-05,0.0075,-46.781366881040505,PS+GS,1.5013587335429198e-05,1.162533750531658e-05,2.6375704633411574e-06,3.7418612985525566e-07,1.7080405869653298e-06,3.567100339716985e-06,2.6375704633411574e-06,6.408923689874858,0.0,3
1.1006941713e-05,0.0075,-46.57303355576448,GS,1.5759402494985864e-05,1.8893409813092177e-05,-3.921977442855607e-06,1.149475998735047e-07,-4.207523110573029e-06,-3.6364317751381847e-06,0.0,8.0,1.0,3
1.1006941713e-05,0.0075,-46.57303355576448,MB-fixed,1.5468465252392132e-05,1.2217572104900043e-05,2.477469884872481e-06,1.5432903795627953e-07,2.0940953016718896e-06,2.860844468073072e-06,2.477469884872481e-06,6.408923689874861,0.0,3
1.1006941713e-05,0.0075,-46.57303355576448,MB-global-opt,1.5152094290667625e-05,1.2088208457772254e-05,2.306281118361989e-06,3.229187554103962e-07,1.5041064602254836e-06,3.1084557764984946e-06,2.306281118361989e-06,4.7380473561634675,0.0,3
1.1006941713e-05,0.0075,-46.57303355576448,PS,1.5468465253872427e-05,1.2217572104900043e-05,2.4774698862787634e-06,1.543290380486658e-07,2.094095302848672e-06,2.860844469708855e-06,2.4774698862787634e-06,6.408923689874858,0.0,3
1.1006941713e-05,0.0075,-46.57303355576448,PS+GS,1.5468457048584128e-05,1.2193403899685151e-05,2.5016302964697697e-06,1.5432251475580502e-07,2.1182719177974783e-06,2.884988675142061e-06,2.5016302964697697e-06,6.408923689874858,0.0,3
1.1547819847e-05,0.0075,-46.36470023138883,GS,1.664147497641248e-05,1.979575584654114e-05,-3.9863546189492884e-06,2.913802914798591e-07,-4.71018338946624e-06,-3.262525848432337e-06,0.0,8.0,1.0,3
1.1547819847e-05,0.0075,-46.36470023138883,MB-fixed,1.649278792707302e-05,1.2814508138836445e-05,2.8536403918829236e-06,3.3170331256422e-07,2.0296436840398487e-06,3.6776370997259985e-06,2.8536403918829236e-06,6.408923689874861,0.0,3
1.1547819847e-05,0.0075,-46.36470023138883,MB-global-opt,1.6350581015641314e-05,1.2679188535758001e-05,2.853863429101247e-06,6.088142870268915e-07,1.3414848992640978e-06,4.366241958938396e-06,2.853863429101247e-06,4.7380473561634675,0.0,3
1.1547819847e-05,0.0075,-46.36470023138883,PS,1.6492787928849378e-05,1.2814508138836445e-05,2.8536403935704627e-06,3.3170331213664667e-07,2.029643686789539e-06,3.677637100351386e-06,2.8536403935704627e-06,6.408923689874858,0.0,3
1.1547819847e-05,0.0075,-46.36470023138883,PS+GS,1.64927906484517e-05,1.2789227447518314e-05,2.878923668510798e-06,3.316754052539941e-07,2.0549962862694883e-06,3.702851050752108e-06,2.878923668510798e-06,6.408923689874858,0.0,3
1.2115276586e-05,0.0075,-46.15636690743925,GS,1.7705942533178625e-05,2.074116159733741e-05,-3.920516190817718e-06,1.5928539866603143e-07,-4.316203056570288e-06,-3.5248293250651467e-06,0.0,8.0,1.0,3
1.2115276586e-05,0.0075,-46.15636690743925,MB-fixed,1.795482554870868e-05,1.3440608501502638e-05,3.6164757697706053e-06,3.6471662867081044e-07,2.710469438398231e-06,4.52248210114298e-06,3.6164757697706053e-06,6.408923689874861,0.0,3
1.2115276586e-05,0.0075,-46.15636690743925,MB-global-opt,1.7862526070426082e-05,1.3299059970828253e-05,3.6703397960765224e-06,3.7678851229212565e-07,2.7343452433489498e-06,4.606334348804095e-06,3.6703397960765224e-06,4.7380473561634675,0.0,3
1.2115276586e-05,0.0075,-46.15636690743925,PS,1.7954825550188975e-05,1.3440608501502638e-05,3.616475771176889e-06,3.647166290815034e-07,2.710469438784297e-06,4.522482103569482e-06,3.616475771176889e-06,6.408923689874858,0.0,3
1.2115276586e-05,0.0075,-46.15636690743925,PS+GS,1.7954847338981967e-05,1.3414164353076075e-05,3.642940618956795e-06,3.647146270192336e-07,2.7369392599625884e-06,4.548941977951002e-06,3.642940618956795e-06,6.408923689874858,0.0,3
1.2710617996e-05,0.0075,-45.94803358374957,GS,1.824855163157224e-05,2.1731680034831058e-05,-4.395555984837429e-06,1.6546151054098305e-07,-4.8065851630103655e-06,-3.984526806664492e-06,0.0,8.0,1.0,3
1.2710617996e-05,0.0075,-45.94803358374957,MB-fixed,1.7919542081301643e-05,1.4097298006721104e-05,2.9262669705154565e-06,7.80974943044933e-08,2.7322620397228623e-06,3.1202719013080507e-06,2.9262669705154565e-06,6.408923689874861,0.0,3
