T,epsilon,SNR_dB,scheme,baseline,mean_delta_K,std_delta_K,ci95_low,ci95_high,P_delta_gt_0,mean_delta_I_AB,mean_delta_chi_BE,mean_delta_outage,gain_source,repetitions
1.3335214322e-05,0.005,-45.739700188025985,GS,MB-global-opt,-7.248634738058849e-06,4.2965884092365335e-07,-8.315966467971006e-06,-6.181303008146693e-06,0.0,3.061282469000541e-07,7.539456572613901e-06,-1.0,No positive gain,3
0.000316227766017,0.0025,-31.989701760057297,PS+GS,MB-global-opt,-7.2619322602237315e-06,5.6551938438207185e-06,-2.1310212554742993e-05,6.786348034295531e-06,0.0,-6.0240419121152895e-06,1.5390924437141962e-06,0.0,No positive gain,3
1.3990503141e-05,0.0025,-45.5313667860926,GS,MB-global-opt,-7.2627379354095455e-06,4.7064972747094636e-07,-8.43189667243065e-06,-6.093579198388441e-06,0.0,-2.2340021121891596e-07,7.0505077347515765e-06,-1.0,No positive gain,3
1e-05,0.01625,-46.98970039622444,GS,MB-global-opt,-7.2909221983182474e-06,9.510880425772049e-07,-9.653555872049807e-06,-4.928288524586688e-06,0.0,8.335915010112178e-08,7.370113390914312e-06,-1.0,No positive gain,3
1.3990503141e-05,0.00375,-45.53136682406759,GS,MB-global-opt,-7.308054601429249e-06,1.125827155129193e-06,-1.0104764294363609e-05,-4.5113449084948885e-06,0.0,2.0803739086971973e-07,7.505690122755482e-06,-1.0,No positive gain,3
1.2115276586e-05,0.005,-46.15636684166928,GS,MB-global-opt,-7.3116632611558425e-06,3.214170330076784e-07,-8.110107434039223e-06,-6.513219088272462e-06,0.0,-4.3964056217760117e-07,6.894004727087122e-06,-1.0,No positive gain,3
1.4677992676e-05,0.00375,-45.32303349628202,GS,MB-global-opt,-7.318491284828236e-06,1.2581997822689551e-06,-1.0444032812839868e-05,-4.192949756816604e-06,0.0,5.586065429478518e-07,7.849167500628695e-06,-1.0,No positive gain,3
1e-05,0.015,-46.989700369081035,GS,MB-global-opt,-7.3281751613289245e-06,7.390743323014621e-07,-9.16413758196293e-06,-5.492212740694919e-06,0.0,-1.0121807599479855e-07,7.232017989133865e-06,-1.0,No positive gain,3
0.002154434690032,0.0175,-23.656448579425984,PS,MB-global-opt,-7.329880191519859e-06,0.00015720554385905086,-0.00039785010018316915,0.00038319033980012944,0.6666666666666666,1.7335662910511473e-05,2.3798759956505933e-05,0.0,No positive gain,3
0.000215443469003,0.0275,-33.65637957532419,PS+GS,MB-global-opt,-7.338706672473557e-06,1.9199846351243395e-06,-1.210821291050802e-05,-2.569200434439093e-06,0.0,-4.713962474293491e-06,2.8604423218947517e-06,0.0,No positive gain,3
1.1006941713e-05,0.00875,-46.57303358564107,GS,MB-global-opt,-7.376617097628231e-06,4.4987668649969136e-07,-8.494172740185546e-06,-6.2590614550709165e-06,0.0,-3.737446731359266e-07,7.021559658149101e-06,-1.0,No positive gain,3
1.2710617996e-05,0.00625,-45.94803354924863,GS,MB-global-opt,-7.389225449102218e-06,1.081869935902008e-06,-1.0076739356052003e-05,-4.701711542152433e-06,0.0,1.28919978988525e-07,7.511699429141316e-06,-1.0,No positive gain,3
0.001467799267622,0.0075,-25.32305728127003,PS,MB-global-opt,-7.419458394375238e-06,1.5000692581199436e-05,-4.4683244537244375e-05,2.98443277484939e-05,0.3333333333333333,4.886035328333094e-06,1.206119195629185e-05,0.0,No positive gain,3
