sweep,parameter_value,comparison,first,second,mean_delta_K_raw,ci95_low_delta_K_raw,ci95_high_delta_K_raw,mean_beta_delta_I_AB,mean_negative_delta_chi_BE
beam_waist,0.0885,PS-Uniform,PS,Uniform QAM,0.0160602545190692,0.015290306156909917,0.01683020288122848,0.00011334278280572443,0.0159469117362635
beam_waist,0.093,PS-Uniform,PS,Uniform QAM,0.016280684807715058,0.01583405802919608,0.016727311586234035,-8.891805929856361e-06,0.01628957661364486
beam_waist,0.0974999999999999,PS-Uniform,PS,Uniform QAM,0.0163141426031674,0.01535616654842855,0.017272118657906253,2.274727752097541e-05,0.016291395325646475
beam_waist,0.102,PS-Uniform,PS,Uniform QAM,0.01616758309683238,0.015424082112804787,0.01691108408085998,-5.524628769031981e-05,0.01622282938452266
beam_waist,0.1065,PS-Uniform,PS,Uniform QAM,0.01646353765604216,0.015498773312296538,0.01742830199978778,-4.957654304854619e-07,0.016464033421472637
beam_waist,0.1109999999999999,PS-Uniform,PS,Uniform QAM,0.01616643182860244,0.015428354484053206,0.01690450917315167,4.326328691037523e-05,0.01612316854169204
beam_waist,0.1154999999999999,PS-Uniform,PS,Uniform QAM,0.01613386883015788,0.015498547931426496,0.016769189728889262,-5.871483044946474e-06,0.01613974031320278
beam_waist,0.12,PS-Uniform,PS,Uniform QAM,0.016840132474776278,0.016061644200325253,0.017618620749227303,8.594680425740992e-05,0.01675418567051888
beam_waist,0.03,GS-Uniform,GS,Uniform QAM,0.0007072231348820198,0.0006842327249804376,0.0007302135447836021,2.5808819576200735e-08,0.0007071973260624212
beam_waist,0.0344999999999999,GS-Uniform,GS,Uniform QAM,0.00078239922692136,0.0007418818765058638,0.0008229165773368562,3.918661009655322e-08,0.000782360040311321
beam_waist,0.039,GS-Uniform,GS,Uniform QAM,0.0008557539813721798,0.0008262445076154054,0.0008852634551289542,8.825536343098905e-08,0.0008556657260087614
beam_waist,0.0435,GS-Uniform,GS,Uniform QAM,0.0009268410085533602,0.0009067093769934655,0.000946972640113255,9.713345774584048e-08,0.0009267438750955592
beam_waist,0.048,GS-Uniform,GS,Uniform QAM,0.0009765807620455203,0.0009440824490821397,0.001009079075008901,1.3351896907737303e-07,0.0009764472430764421
beam_waist,0.0525,GS-Uniform,GS,Uniform QAM,0.0010067161030353398,0.0009604887824642763,0.0010529434236064032,1.5745970065247915e-07,0.0010065586433347206
beam_waist,0.0569999999999999,GS-Uniform,GS,Uniform QAM,0.0010347362159821804,0.0010014121868279309,0.0010680602451364298,1.7048369118893845e-07,0.0010345657322909762
beam_waist,0.0615,GS-Uniform,GS,Uniform QAM,0.00107490777711106,0.0010157129512772792,0.0011341026029448407,2.420652909454479e-07,0.0010746657118201025
beam_waist,0.066,GS-Uniform,GS,Uniform QAM,0.0010999998833141201,0.0010619513005725627,0.0011380484660556776,2.416066631906466e-07,0.0010997582766509029
beam_waist,0.0705,GS-Uniform,GS,Uniform QAM,0.0011094771898741602,0.0010946114059375118,0.0011243429738108086,2.1310849623687454e-07,0.0011092640813779643
beam_waist,0.075,GS-Uniform,GS,Uniform QAM,0.0011236191820181997,0.001089075196942356,0.0011581631670940435,2.4928479854413593e-07,0.0011233698972196616
beam_waist,0.0794999999999999,GS-Uniform,GS,Uniform QAM,0.00114860882132592,0.0011320794323204666,0.0011651382103313734,2.991420776998765e-07,0.0011483096792481828
beam_waist,0.0839999999999999,GS-Uniform,GS,Uniform QAM,0.0011311929654677204,0.0010871071257118003,0.0011752788052236405,2.6263869884385336e-07,0.001130930326768878
beam_waist,0.0885,GS-Uniform,GS,Uniform QAM,0.0011639000444798003,0.0011133870839789572,0.0012144130049806434,2.9703326733923617e-07,0.0011636030112124579
beam_waist,0.093,GS-Uniform,GS,Uniform QAM,0.0011882769472175004,0.0011596047945845712,0.0012169490998504297,3.589358828280653e-07,0.0011879180113346822
beam_waist,0.0974999999999999,GS-Uniform,GS,Uniform QAM,0.0011887139978371008,0.001117852757879033,0.0012595752377951685,3.1521501911296875e-07,0.0011883987828179982
beam_waist,0.102,GS-Uniform,GS,Uniform QAM,0.0011839312749613996,0.0011262269124398439,0.0012416356374829554,2.5220765227748626e-07,0.0011836790673091014
beam_waist,0.1065,GS-Uniform,GS,Uniform QAM,0.0012012504010749602,0.001138764377377637,0.0012637364247722834,3.189266562150794e-07,0.0012009314744187178
beam_waist,0.1109999999999999,GS-Uniform,GS,Uniform QAM,0.0011765810775794202,0.0011259358976402154,0.001227226257518625,2.972991925162538e-07,0.001176283778386919
beam_waist,0.1154999999999999,GS-Uniform,GS,Uniform QAM,0.00117824187222288,0.00113150724723199,0.0012249764972137702,3.186660799724128e-07,0.001177923206142842
