sweep,parameter_name,parameter_value,parameter_unit,scheme,mean_I_AB,std_I_AB,mean_chi_BE,std_chi_BE,mean_K_raw,std_K_raw,mean_K_positive,std_K_positive,mean_T,std_repetition_mean_T,mean_eta_atm,mean_eta_geo,mean_sigma2_turb_m2,mean_sigma2_UAV_m2,link_distance_km
visibility,visibility,38.25,km,PS+GS,0.3655875650393836,0.011274308339488935,0.20410236861644884,0.0052575971538250735,0.14320581817096553,0.005898415811519257,0.14320581817096553,0.005898415811519257,0.3005458719626665,0.010147539232625307,0.5874821411515038,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,40.0,km,Uniform QAM,0.37548742272654956,0.009091019814335294,0.2701695953574027,0.005298256330296352,0.08654345623281931,0.0034081624972382932,0.08654350453125484,0.003408139549371124,0.31097387905251006,0.00874394930601652,0.6013137741954285,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,40.0,km,Maxwell-Boltzmann QAM,0.3764936454714167,0.009300342826759525,0.20762217052466977,0.0034958358060663227,0.15004679267317605,0.005479410768315412,0.15004679267317605,0.005479410768315412,0.31097387905251006,0.00874394930601652,0.6013137741954285,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,40.0,km,Binomial QAM,0.3765225991439099,0.009331737950089425,0.20855204882354744,0.003523532214009388,0.14914442036316689,0.0054843499403219465,0.14914442036316689,0.0054843499403219465,0.31097387905251006,0.00874394930601652,0.6013137741954285,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,40.0,km,GS,0.3755280220583536,0.009093475444832242,0.2658224721063978,0.005176221452553486,0.09092914884903808,0.0035345321207988396,0.09092915990173746,0.003534528950555616,0.31097387905251006,0.00874394930601652,0.6013137741954285,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,40.0,km,PS,0.3764936454714175,0.009300342826759555,0.20762217052469403,0.003495835806066991,0.15004679267315252,0.00547941076831473,0.15004679267315252,0.00547941076831473,0.31097387905251006,0.00874394930601652,0.6013137741954285,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,40.0,km,PS+GS,0.3764940223991327,0.00930027042523821,0.2074534152620815,0.0034908020956999908,0.1502159060170945,0.0054846160097390675,0.1502159060170945,0.0054846160097390675,0.31097387905251006,0.00874394930601652,0.6013137741954285,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
beam_waist,beam_waist,0.03,m,Uniform QAM,0.058370111503730907,0.0016773926360613212,0.04964551629694154,0.0014047048171222083,0.00580608963160274,0.0001904655317215342,0.0058061166442595,0.00019048053699726947,0.04145215211863407,0.0012304976693874663,0.13073883451571086,0.519702450460485,0.03921460802035276,0.010177636208000001,20.0
beam_waist,beam_waist,0.03,m,Maxwell-Boltzmann QAM,0.05839965573357266,0.0016446701255433533,0.04009915267084342,0.0011503076996431483,0.01538052027605052,0.00041614909771746047,0.01538052027605052,0.00041614909771746047,0.04145215211863407,0.0012304976693874663,0.13073883451571086,0.519702450460485,0.03921460802035276,0.010177636208000001,20.0
beam_waist,beam_waist,0.03,m,Binomial QAM,0.05840361382861738,0.0016371198476513792,0.0402267576948069,0.0011538259989497287,0.01525667544237956,0.00040739893209406535,0.01525667544237956,0.00040739893209406535,0.04145215211863407,0.0012304976693874663,0.13073883451571086,0.519702450460485,0.03921460802035276,0.010177636208000001,20.0
beam_waist,beam_waist,0.03,m,GS,0.0583701386709094,0.0016774040039825822,0.04893831897087912,0.0013862077883862614,0.0065133127664847605,0.0002087608130737976,0.00651331521429462,0.00020875970905421385,0.04145215211863407,0.0012304976693874663,0.13073883451571086,0.519702450460485,0.03921460802035276,0.010177636208000001,20.0
