parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
link_distance,84.0,km,3,305026,1.2796162690476353e-06,0.0,3.7002307494080067e-09
link_distance,84.0,km,4,306026,1.189231346671038e-06,0.0,3.3864322221411204e-09
link_distance,88.0,km,0,302026,6.353596159159104e-07,0.0,1.856329923284563e-09
link_distance,88.0,km,1,303026,6.655711100310088e-07,0.0,1.9466577178342548e-09
link_distance,88.0,km,2,304026,4.6032758909495666e-07,2.255140518769849e-18,1.3368455972426408e-09
link_distance,88.0,km,3,305026,5.340666943218912e-07,0.0,1.5854463009806117e-09
link_distance,88.0,km,4,306026,6.425161164733474e-07,8.673617379884035e-18,1.856868590659115e-09
link_distance,92.0,km,0,302026,3.574626109342435e-07,1.0234868508263156e-17,1.0891523139975086e-09
link_distance,92.0,km,1,303026,3.6749081900148964e-07,0.0,1.098080029335292e-09
link_distance,92.0,km,2,304026,2.7697706637928863e-07,0.0,8.311473785258089e-10
link_distance,92.0,km,3,305026,3.181300869436673e-07,0.0,9.515512657334857e-10
link_distance,92.0,km,4,306026,3.331271244270614e-07,0.0,9.849776036463425e-10
link_distance,96.0,km,0,302026,1.7318949052588796e-07,0.0,5.411826400208774e-10
link_distance,96.0,km,1,303026,1.779653174062076e-07,9.887923813067799e-18,5.542740969325257e-10
link_distance,96.0,km,2,304026,2.3447843017984634e-07,0.0,7.346787365969599e-10
link_distance,96.0,km,3,305026,2.36856477469835e-07,-3.295974604355931e-18,7.285750084837493e-10
link_distance,96.0,km,4,306026,2.2630144551252088e-07,0.0,6.865829219396216e-10
link_distance,100.0,km,0,302026,1.5327927776337397e-07,0.0,4.800131353163812e-10
link_distance,100.0,km,1,303026,1.4667591027531927e-07,3.9898639947466575e-18,4.698963201182851e-10
link_distance,100.0,km,2,304026,1.7611042001288572e-07,0.0,5.573107982048686e-10
link_distance,100.0,km,3,305026,1.2309556196490185e-07,0.0,3.9660594773616165e-10
link_distance,100.0,km,4,306026,1.4673926019923704e-07,-6.591949208711868e-18,4.6304477301084027e-10
