run_id,timestamp,distance_km,V_A,beta,I_AB,chi_BE,Delta,epsilon_total,n_block,N_block,SKR,SKR_clipped
20260501_224540,2026-05-01 22:45:40,51.3157894737,2.6000000000,0.9500000000,0.0000000062,0.0000000093,0.0181933236,0.0000000300,100000000,100000000,-0.0000000034,0.0000000000
20260501_224540,2026-05-01 22:45:40,51.3157894737,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,54.2105263158,2.6000000000,0.9500000000,0.0000000057,0.0000000086,0.0181933236,0.0000000300,100000000,100000000,-0.0000000031,0.0000000000
20260501_224540,2026-05-01 22:45:40,54.2105263158,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,54.2105263158,2.6000000000,0.9500000000,0.0000000030,0.0000000045,0.0181933236,0.0000000300,100000000,100000000,-0.0000000016,0.0000000000
20260501_224540,2026-05-01 22:45:40,54.2105263158,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,57.1052631579,2.6000000000,0.9500000000,0.0000000027,0.0000000040,0.0181933236,0.0000000300,100000000,100000000,-0.0000000015,0.0000000000
20260501_224540,2026-05-01 22:45:40,57.1052631579,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,57.1052631579,2.6000000000,0.9500000000,0.0000000042,0.0000000062,0.0181933236,0.0000000300,100000000,100000000,-0.0000000023,0.0000000000
20260501_224540,2026-05-01 22:45:40,57.1052631579,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,60.0000000000,2.6000000000,0.9500000000,0.0000000013,0.0000000020,0.0181933236,0.0000000300,100000000,100000000,-0.0000000007,0.0000000000
20260501_224540,2026-05-01 22:45:40,60.0000000000,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,60.0000000000,2.6000000000,0.9500000000,0.0000000021,0.0000000031,0.0181933236,0.0000000300,100000000,100000000,-0.0000000012,0.0000000000
20260501_224540,2026-05-01 22:45:40,60.0000000000,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,2.6000000000,0.9500000000,0.0118557101,0.0171346897,0.0181933236,0.0000000300,100000000,100000000,-0.0058717651,0.0000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,2.6000000000,0.9500000000,0.0118546136,0.0171331445,0.0181933236,0.0000000300,100000000,100000000,-0.0058712616,0.0000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,2.6000000000,0.9500000000,0.0118530765,0.0171309784,0.0181933236,0.0000000300,100000000,100000000,-0.0058705557,0.0000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,2.6000000000,0.9500000000,0.0118511077,0.0171282040,0.0181933236,0.0000000300,100000000,100000000,-0.0058696516,0.0000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,2.6000000000,0.9500000000,0.0118486102,0.0171246843,0.0181933236,0.0000000300,100000000,100000000,-0.0058685046,0.0000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,2.6000000000,0.9500000000,0.0118456633,0.0171205313,0.0181933236,0.0000000300,100000000,100000000,-0.0058671512,0.0000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,2.6000000000,0.9500000000,0.0118423066,0.0171158009,0.0181933236,0.0000000300,100000000,100000000,-0.0058656096,0.0000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,2.6000000000,0.9500000000,0.0118384035,0.0171103002,0.0181933236,0.0000000300,100000000,100000000,-0.0058638169,0.0000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,2.6000000000,0.9500000000,0.0118340880,0.0171042182,0.0181933236,0.0000000300,100000000,100000000,-0.0058618346,0.0000000000
