run_id,timestamp,distance_km,T_eff,eta_atm,eta_geo,chi_line,chi_hom,chi_tot,X_tot,epsilon_bg,epsilon_RIN_s,epsilon_mod,epsilon_ch,epsilon_det,eta_det,V_ele
20260501_224540,2026-05-01 22:45:40,51.3157894737,0.0000000134,0.0054060524,0.0043162445,74714190.1982436776,1.0260000000,151370950.3668208718,151370950.3668208718,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,51.3157894737,0.0000000000,0.0054060524,0.0043162445,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,54.2105263158,0.0000000123,0.0040270910,0.0038685005,81182201.4873737097,1.0260000000,164475141.2385983467,164475141.2385983467,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,54.2105263158,0.0000000000,0.0040270910,0.0038685005,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,54.2105263158,0.0000000065,0.0040270910,0.0038685005,153138414.5108085275,1.0260000000,310258428.8240772486,310258428.8240772486,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,54.2105263158,0.0000000000,0.0040270910,0.0038685005,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,57.1052631579,0.0000000058,0.0029998714,0.0034869392,171535655.0866810083,1.0260000000,347531238.2307949066,347531238.2307949066,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,57.1052631579,0.0000000000,0.0029998714,0.0034869392,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,57.1052631579,0.0000000090,0.0029998714,0.0034869392,111469827.6876568645,1.0260000000,225837871.9203720093,225837871.9203720093,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,57.1052631579,0.0000000000,0.0029998714,0.0034869392,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,60.0000000000,0.0000000028,0.0022346722,0.0031591385,358306539.5458654761,1.0260000000,725929050.1451027393,725929050.1451027393,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,60.0000000000,0.0000000000,0.0022346722,0.0031591385,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,60.0000000000,0.0000000044,0.0022346722,0.0031591385,225750795.1274340451,1.0260000000,457371111.9533605576,457371111.9533605576,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,60.0000000000,0.0000000000,0.0022346722,0.0031591385,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254976547,0.1447386037,0.0310421114,38.2200933282,1.0260000000,78.4590882828,78.4590882828,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254952922,0.1447386037,0.0310421114,38.2237276644,1.0260000000,78.4664514482,78.4664514482,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
