run_id,timestamp,distance_km,visibility_km,lambda_nm,xi_km_inv,loss_db_per_km,L_link_km,eta_atm,loss_total_db,eta_sys,eta_geo,T0
20260506_001219,2026-05-06 00:12:19,13.6842105263,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,13.6842105263,0.2827120711,6.6405561064,1.0000000000,0.9941682745,0.9970798737
20260506_001219,2026-05-06 00:12:19,13.6842105263,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,13.6842105263,0.2827120711,5.5119574781,1.0000000000,0.9941682745,0.9970798737
20260506_001219,2026-05-06 00:12:19,13.6842105263,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,13.6842105263,0.2827120711,6.6431441458,1.0000000000,0.9941682745,0.9970798737
20260506_001219,2026-05-06 00:12:19,13.6842105263,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,13.6842105263,0.2827120711,5.5119574781,1.0000000000,0.9941682745,0.9970798737
20260506_001219,2026-05-06 00:12:19,16.5789473684,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,16.5789473684,0.2164126189,8.4995207845,1.0000000000,0.9778713742,0.9888737908
20260506_001220,2026-05-06 00:12:20,16.5789473684,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,16.5789473684,0.2164126189,6.7443568648,1.0000000000,0.9778713742,0.9888737908
20260506_001220,2026-05-06 00:12:20,16.5789473684,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,16.5789473684,0.2164126189,8.4809194014,1.0000000000,0.9778713742,0.9888737908
20260506_001220,2026-05-06 00:12:20,16.5789473684,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,16.5789473684,0.2164126189,6.7443568648,1.0000000000,0.9778713742,0.9888737908
20260506_001220,2026-05-06 00:12:20,19.4736842105,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,19.4736842105,0.1656612023,10.4786095578,1.0000000000,0.9456172193,0.9724285163
20260506_001220,2026-05-06 00:12:20,19.4736842105,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,19.4736842105,0.1656612023,8.0506381917,1.0000000000,0.9456172193,0.9724285163
20260506_001220,2026-05-06 00:12:20,19.4736842105,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,19.4736842105,0.1656612023,10.4721179263,1.0000000000,0.9456172193,0.9724285163
20260506_001220,2026-05-06 00:12:20,19.4736842105,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,19.4736842105,0.1656612023,8.0506381917,1.0000000000,0.9456172193,0.9724285163
20260506_001220,2026-05-06 00:12:20,22.3684210526,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,22.3684210526,0.1268116161,12.5551444705,1.0000000000,0.8983046415,0.9477893445
20260506_001220,2026-05-06 00:12:20,22.3684210526,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,22.3684210526,0.1268116161,9.4341731908,1.0000000000,0.8983046415,0.9477893445
20260506_001220,2026-05-06 00:12:20,22.3684210526,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,22.3684210526,0.1268116161,12.5596108971,1.0000000000,0.8983046415,0.9477893445
20260506_001221,2026-05-06 00:12:21,22.3684210526,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,22.3684210526,0.1268116161,9.4341731908,1.0000000000,0.8983046415,0.9477893445
20260506_001221,2026-05-06 00:12:21,25.2631578947,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,25.2631578947,0.0970727349,14.6672323318,1.0000000000,0.8406068865,0.9168461629
20260506_001221,2026-05-06 00:12:21,25.2631578947,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,25.2631578947,0.0970727349,10.8830979082,1.0000000000,0.8406068865,0.9168461629
20260506_001221,2026-05-06 00:12:21,25.2631578947,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,25.2631578947,0.0970727349,14.6594492814,1.0000000000,0.8406068865,0.9168461629
20260506_001221,2026-05-06 00:12:21,25.2631578947,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,25.2631578947,0.0970727349,10.8830979082,1.0000000000,0.8406068865,0.9168461629
20260506_001221,2026-05-06 00:12:21,28.1578947368,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,28.1578947368,0.0743079866,16.7979801953,1.0000000000,0.7778969266,0.8819846522
20260506_001221,2026-05-06 00:12:21,28.1578947368,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,28.1578947368,0.0743079866,12.3804245038,1.0000000000,0.7778969266,0.8819846522
20260506_001221,2026-05-06 00:12:21,28.1578947368,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,28.1578947368,0.0743079866,16.8117056255,1.0000000000,0.7778969266,0.8819846522
20260506_001221,2026-05-06 00:12:21,28.1578947368,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,28.1578947368,0.0743079866,12.3804245038,1.0000000000,0.7778969266,0.8819846522
20260506_001221,2026-05-06 00:12:21,31.0526315789,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,31.0526315789,0.0568818513,18.8728746101,1.0000000000,0.7145220767,0.8452940771
20260506_001221,2026-05-06 00:12:21,31.0526315789,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,31.0526315789,0.0568818513,13.9101062587,1.0000000000,0.7145220767,0.8452940771
20260506_001221,2026-05-06 00:12:21,31.0526315789,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,31.0526315789,0.0568818513,18.8865837238,1.0000000000,0.7145220767,0.8452940771
20260506_001222,2026-05-06 00:12:22,31.0526315789,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,31.0526315789,0.0568818513,13.9101062587,1.0000000000,0.7145220767,0.8452940771
20260506_001222,2026-05-06 00:12:22,33.9473684211,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,33.9473684211,0.0435423586,20.9627896240,1.0000000000,0.6533840535,0.8083217512
20260506_001222,2026-05-06 00:12:22,33.9473684211,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,33.9473684211,0.0435423586,15.4591951847,1.0000000000,0.6533840535,0.8083217512
20260506_001222,2026-05-06 00:12:22,33.9473684211,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,33.9473684211,0.0435423586,20.9494675777,1.0000000000,0.6533840535,0.8083217512
20260506_001222,2026-05-06 00:12:22,33.9473684211,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,33.9473684211,0.0435423586,15.4591951847,1.0000000000,0.6533840535,0.8083217512
20260506_001222,2026-05-06 00:12:22,36.8421052632,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,36.8421052632,0.0333311409,22.9648995085,1.0000000000,0.5961389474,0.7721003480
20260506_001222,2026-05-06 00:12:22,36.8421052632,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,36.8421052632,0.0333311409,17.0180232458,1.0000000000,0.5961389474,0.7721003480
20260506_001222,2026-05-06 00:12:22,36.8421052632,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,36.8421052632,0.0333311409,22.9803143509,1.0000000000,0.5961389474,0.7721003480
20260506_001222,2026-05-06 00:12:22,36.8421052632,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,36.8421052632,0.0333311409,17.0180232458,1.0000000000,0.5961389474,0.7721003480
20260506_001222,2026-05-06 00:12:22,39.7368421053,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,39.7368421053,0.0255145790,24.9576781815,1.0000000000,0.5435546931,0.7372616178
20260506_001223,2026-05-06 00:12:23,39.7368421053,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,39.7368421053,0.0255145790,18.5796834280,1.0000000000,0.5435546931,0.7372616178
20260506_001223,2026-05-06 00:12:23,39.7368421053,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,39.7368421053,0.0255145790,24.9505954584,1.0000000000,0.5435546931,0.7372616178
20260506_001223,2026-05-06 00:12:23,39.7368421053,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,39.7368421053,0.0255145790,18.5796834280,1.0000000000,0.5435546931,0.7372616178
20260506_001223,2026-05-06 00:12:23,42.6315789474,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,42.6315789474,0.0195310969,26.8955403895,1.0000000000,0.4958321761,0.7041535174
20260506_001224,2026-05-06 00:12:24,42.6315789474,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,42.6315789474,0.0195310969,20.1393865824,1.0000000000,0.4958321761,0.7041535174
20260506_001224,2026-05-06 00:12:24,42.6315789474,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,42.6315789474,0.0195310969,26.8904261015,1.0000000000,0.4958321761,0.7041535174
20260506_001224,2026-05-06 00:12:24,42.6315789474,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,42.6315789474,0.0195310969,20.1393865824,1.0000000000,0.4958321761,0.7041535174
20260506_001224,2026-05-06 00:12:24,45.5263157895,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,45.5263157895,0.0149508149,28.8191314399,1.0000000000,0.4528407123,0.6729344041
20260506_001225,2026-05-06 00:12:25,45.5263157895,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,45.5263157895,0.0149508149,21.6938967110,1.0000000000,0.4528407123,0.6729344041
20260506_001225,2026-05-06 00:12:25,45.5263157895,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,45.5263157895,0.0149508149,28.8255281129,1.0000000000,0.4528407123,0.6729344041
20260506_001225,2026-05-06 00:12:25,45.5263157895,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,45.5263157895,0.0149508149,21.6938967110,1.0000000000,0.4528407123,0.6729344041
20260506_001225,2026-05-06 00:12:25,48.4210526316,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,48.4210526316,0.0114446652,30.6724486309,1.0000000000,0.4142741880,0.6436413504
20260506_001225,2026-05-06 00:12:25,48.4210526316,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,48.4210526316,0.0114446652,23.2410903287,1.0000000000,0.4142741880,0.6436413504
20260506_001225,2026-05-06 00:12:25,48.4210526316,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,48.4210526316,0.0114446652,30.7156502103,1.0000000000,0.4142741880,0.6436413504
20260506_001226,2026-05-06 00:12:26,48.4210526316,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,48.4210526316,0.0114446652,23.2410903287,1.0000000000,0.4142741880,0.6436413504
20260506_001226,2026-05-06 00:12:26,51.3157894737,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,51.3157894737,0.0087607507,32.5643646174,1.0000000000,0.3797481306,0.6162370734
20260506_001226,2026-05-06 00:12:26,51.3157894737,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,51.3157894737,0.0087607507,24.7796303461,1.0000000000,0.3797481306,0.6162370734
20260506_001226,2026-05-06 00:12:26,51.3157894737,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,51.3157894737,0.0087607507,32.5019303552,1.0000000000,0.3797481306,0.6162370734
20260506_001226,2026-05-06 00:12:26,51.3157894737,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,51.3157894737,0.0087607507,24.7796303461,1.0000000000,0.3797481306,0.6162370734
20260506_001226,2026-05-06 00:12:26,54.2105263158,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,54.2105263158,0.0067062471,34.4021110040,1.0000000000,0.3488569399,0.5906411262
20260506_001226,2026-05-06 00:12:26,54.2105263158,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,54.2105263158,0.0067062471,26.3087308388,1.0000000000,0.3488569399,0.5906411262
20260506_001226,2026-05-06 00:12:26,54.2105263158,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,54.2105263158,0.0067062471,34.3334756448,1.0000000000,0.3488569399,0.5906411262
20260506_001226,2026-05-06 00:12:26,54.2105263158,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,54.2105263158,0.0067062471,26.3087308388,1.0000000000,0.3488569399,0.5906411262
20260506_001226,2026-05-06 00:12:26,57.1052631579,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,57.1052631579,0.0051335498,36.1667791877,1.0000000000,0.3212057225,0.5667501412
20260506_001227,2026-05-06 00:12:27,57.1052631579,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,57.1052631579,0.0051335498,27.8279894858,1.0000000000,0.3212057225,0.5667501412
20260506_001227,2026-05-06 00:12:27,57.1052631579,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,57.1052631579,0.0051335498,36.1062924685,1.0000000000,0.3212057225,0.5667501412
20260506_001227,2026-05-06 00:12:27,57.1052631579,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,57.1052631579,0.0051335498,27.8279894858,1.0000000000,0.3212057225,0.5667501412
20260506_001227,2026-05-06 00:12:27,60.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,60.0000000000,0.0039296693,37.8984641269,1.0000000000,0.2964265537,0.5444506898
20260506_001227,2026-05-06 00:12:27,60.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,60.0000000000,0.0039296693,29.3372688936,1.0000000000,0.2964265537,0.5444506898
20260506_001227,2026-05-06 00:12:27,60.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,60.0000000000,0.0039296693,37.8413696687,1.0000000000,0.2964265537,0.5444506898
20260506_001227,2026-05-06 00:12:27,60.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,60.0000000000,0.0039296693,29.3372688936,1.0000000000,0.2964265537,0.5444506898
20260506_001227,2026-05-06 00:12:27,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.2974008959,1.0000000000,0.9380283687,0.9685186466
