run_id,timestamp,distance_km,T_eff,chi_tot,eta_atm,loss_total_db,SKR,status
20260501_224540,2026-05-01 22:45:40,60.0000000000,0.0000000044,457371111.9533605576,0.0022346722,83.5362929056,-0.0000000012,outage
20260501_224540,2026-05-01 22:45:40,60.0000000000,0.0000000000,2025999999999999.0000000000,0.0022346722,inf,0.0000000000,ok
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254976547,78.4590882828,0.1447386037,15.9349976408,-0.0058717651,outage
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254952922,78.4664514482,0.1447386037,15.9354000700,-0.0058712616,outage
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254919802,78.4767758571,0.1447386037,15.9359642814,-0.0058705557,outage
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254877382,78.4900031208,0.1447386037,15.9366870218,-0.0058696516,outage
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254823569,78.5067895149,0.1447386037,15.9376040606,-0.0058685046,outage
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254760072,78.5266056210,0.1447386037,15.9386863631,-0.0058671512,outage
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254687749,78.5491885952,0.1447386037,15.9399194558,-0.0058656096,outage
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254603650,78.5754643467,0.1447386037,15.9413537438,-0.0058638169,outage
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254510665,78.6045367212,0.1447386037,15.9429401364,-0.0058618346,outage
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254406967,78.6369840080,0.1447386037,15.9447100039,-0.0058596238,outage
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0254306442,78.6684632394,0.1447386037,15.9464263788,-0.0058574806,outage
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0254177878,78.7087595196,0.1447386037,15.9486225055,-0.0058547393,outage
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0254047567,78.7496447305,0.1447386037,15.9508495941,-0.0058519606,outage
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0253907380,78.7936757547,0.1447386037,15.9532467641,-0.0058489710,outage
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0253760939,78.8397227016,0.1447386037,15.9557522719,-0.0058458478,outage
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0253607406,78.8880568984,0.1447386037,15.9583806795,-0.0058425731,outage
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0253413818,78.9490843770,0.1447386037,15.9616970756,-0.0058384435,outage
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0253262685,78.9967930260,0.1447386037,15.9642879284,-0.0058352192,outage
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0254835960,78.5029237567,0.1447386037,15.9373928919,-0.0058687687,outage
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0254812413,78.5102704132,0.1447386037,15.9377941975,-0.0058682668,outage
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0254779484,78.5205465325,0.1447386037,15.9383554606,-0.0058675650,outage
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0254734681,78.5345325075,0.1447386037,15.9391192329,-0.0058666100,outage
